Player,Player Link,Player Key,Team,Team Link,Position,Age,2025-26,2026-27,2027-28,2028-29,2029-30
Maxwell Lewis,https://www.spotrac.com/nba/player/_/id/82318/maxwell-lewis,maxwell-lewis,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly,SF,22,$2221677,$2406205,UFA,,
Micah Potter,https://www.spotrac.com/nba/player/_/id/74418/micah-potter,micah-potter,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly,C,26,RFA,,,,
Michael Porter Jr.,https://www.spotrac.com/nba/player/_/id/26980/michael-porter,michael-porter,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,SF,26,$38333050,$40806150,UFA,,
Mikal Bridges,https://www.spotrac.com/nba/player/_/id/26976/mikal-bridges,mikal-bridges,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,SF,28,$24900000,UFA,,,
Mike Conley,https://www.spotrac.com/nba/player/_/id/2532/mike-conley,mike-conley,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly,PG,37,$10774038,UFA,,,
Miles Bridges,https://www.spotrac.com/nba/player/_/id/26978/miles-bridges,miles-bridges,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly,SF,26,$25000000,$22826087,UFA,,
Miles McBride,https://www.spotrac.com/nba/player/_/id/74143/miles-mcbride,miles-mcbride,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,PG,24,$4333333,$3956523,UFA,,
Miles Norris,https://www.spotrac.com/nba/player/_/id/84770/miles-norris,miles-norris,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly,PF,24,RFA,,,,
Mitchell Robinson,https://www.spotrac.com/nba/player/_/id/27002/mitchell-robinson,mitchell-robinson,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,C,26,$12954546,UFA,,,
Mohamed Bamba,https://www.spotrac.com/nba/player/_/id/26972/mohamed-bamba,mohamed-bamba,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly,C,26,,,,,
Monte Morris,https://www.spotrac.com/nba/player/_/id/23652/monte-morris,monte-morris,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly,PG,29,UFA,,,,
Moritz Wagner,https://www.spotrac.com/nba/player/_/id/26991/moritz-wagner,moritz-wagner,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly,C,27,$11000000,UFA,,,
Moses Moody,https://www.spotrac.com/nba/player/_/id/74121/moses-moody,moses-moody,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly,SG,22,$11574075,$12500000,$13425925,UFA,
Mouhamed Gueye,https://www.spotrac.com/nba/player/_/id/84468/mouhamed-gueye,mouhamed-gueye,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly,PF,22,$2221677,$2406205,UFA,,
Moussa Diabate,https://www.spotrac.com/nba/player/_/id/78154/moussa-diabate,moussa-diabate,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly,PF,23,$2270735,$2461462,UFA,,
Myles Turner,https://www.spotrac.com/nba/player/_/id/17839/myles-turner,myles-turner,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly,C,28,UFA,,,,
Nae'qwan Tomlin,https://www.spotrac.com/nba/player/_/id/95599/naeqwan-tomlin,naeqwan-tomlin,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly,F,24,Two-Way,RFA,,,
Nah'Shon Hyland,https://www.spotrac.com/nba/player/_/id/74133/nahshon-hyland,nahshon-hyland,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly,PG,24,RFA,,,,
Naji Marshall,https://www.spotrac.com/nba/player/_/id/70704/naji-marshall,naji-marshall,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly,SF,27,$9000000,$9428571,UFA,,
Naz Reid,https://www.spotrac.com/nba/player/_/id/32045/naz-reid,naz-reid,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly,C,25,$15022464,UFA,,,
Neemias Queta,https://www.spotrac.com/nba/player/_/id/74146/neemias-queta,neemias-queta,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly,C,25,$2349578,$2667944,UFA,,
N'Faly Dante,https://www.spotrac.com/nba/player/_/id/94513/nfaly-dante,nfaly-dante,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly,PF,23,RFA,,,,
Nick Richards,https://www.spotrac.com/nba/player/_/id/70684/nick-richards,nick-richards,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly,C,27,$5000000,UFA,,,
