Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key,FP,FPPG,FPPM,MPG,FPR
Alex Len,31,SAC,C,14,2,108,11,19,.579,0,4,.000,11,15,.733,.579,2,4,.500,6,24,30,10,2,11,6,14,24,0,,alex-len,57,4.1,0.53,7.7,2.1
Alex Reese,25,OKC,PF,1,0,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,0,0,2,0,,alex-reese,3,3.0,1.5,2.0,4.5
Alex Sarr,19,WAS,C,15,15,392,57,158,.361,13,65,.200,44,93,.473,.402,23,34,.676,30,65,95,34,11,30,19,43,150,0,,alex-sarr,258,17.2,0.66,26.1,11.3
Alondes Williams,25,DET,SG,1,0,4,2,2,1.000,1,1,1.000,1,1,1.000,1.250,0,0,,0,0,0,1,0,0,0,0,5,0,,alondes-williams,6,6.0,1.5,4.0,9.0
Alperen Sengun,22,HOU,C,18,18,532,129,269,.480,8,27,.296,121,242,.500,.494,64,86,.744,62,128,190,84,19,21,37,50,330,2,,alperen-sengun,557,30.9,1.05,29.6,32.4
Amen Thompson,22,HOU,SF,18,1,456,73,132,.553,5,17,.294,68,115,.591,.572,53,73,.726,38,82,120,40,19,14,32,42,204,0,,amen-thompson,323,17.9,0.71,25.3,12.7
Amir Coffey,27,LAC,SG,19,4,462,62,130,.477,29,68,.426,33,62,.532,.588,30,36,.833,11,39,50,22,10,1,11,29,183,0,,amir-coffey,226,11.9,0.49,24.3,5.8
Andre Drummond,31,PHI,C,15,9,313,51,99,.515,1,5,.200,50,94,.532,.520,24,45,.533,45,82,127,8,19,8,27,40,127,0,,andre-drummond,222,14.8,0.71,20.9,10.5
Andre Jackson Jr.,23,MIL,SG,16,8,282,19,49,.388,10,25,.400,9,24,.375,.490,4,8,.500,12,33,45,25,12,5,22,39,52,0,,andre-jackson,78,4.9,0.28,17.6,1.3
Andrew Nembhard,25,IND,SG,7,7,187,20,52,.385,3,13,.231,17,39,.436,.413,8,10,.800,1,13,14,33,6,0,10,15,51,0,,andrew-nembhard,79,11.3,0.42,26.7,4.8
