Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key,FP,FPPG,FPPM,MPG,FPR
Talen Horton-Tucker,22,UTA,SG,65,20,1313,257,613,.419,58,203,.286,199,410,.485,.467,126,168,.750,41,169,210,246,41,29,126,108,698,0,,talen-horton-tucker,990,15.2,0.75,20.2,11.5
Tari Eason,21,HOU,PF,82,5,1767,296,660,.448,59,172,.343,237,488,.486,.493,109,145,.752,195,301,496,88,96,47,101,189,760,0,,tari-eason,1197,14.6,0.68,21.5,9.9
Taurean Prince,28,MIN,PF,54,4,1192,177,379,.467,74,194,.381,103,185,.557,.565,65,77,.844,15,117,132,84,28,15,69,123,493,0,,taurean-prince,560,10.4,0.47,22.1,4.9
Terance Mann,26,LAC,SG,81,36,1872,272,524,.519,77,198,.389,195,326,.598,.593,92,118,.780,77,199,276,184,42,22,80,149,713,0,,terance-mann,1008,12.4,0.54,23.1,6.7
Terence Davis,25,SAC,SG,64,5,841,154,364,.423,89,243,.366,65,121,.537,.545,34,43,.791,20,119,139,67,43,12,53,104,431,0,,terence-davis,535,8.4,0.64,13.1,5.3
Terrence Ross,31,2TM,SG,63,9,1330,200,465,.430,95,258,.368,105,207,.507,.532,27,34,.794,22,132,154,95,35,10,43,97,522,0,,terrence-ross,676,10.7,0.51,21.1,5.5
Terry Rozier,28,CHO,SG,63,63,2221,493,1188,.415,165,505,.327,328,683,.480,.484,178,220,.809,51,208,259,319,74,16,134,119,1329,0,,terry-rozier,1744,27.7,0.79,35.3,21.7
Terry Taylor,23,2TM,PF,31,2,264,39,75,.520,5,19,.263,34,56,.607,.553,6,11,.545,27,20,47,10,3,6,9,26,89,0,,terry-taylor,120,3.9,0.45,8.5,1.8
Thaddeus Young,34,TOR,PF,54,9,795,108,198,.545,6,34,.176,102,164,.622,.561,18,26,.692,71,95,166,75,54,5,42,88,240,0,,thaddeus-young,410,7.6,0.52,14.7,3.9
Thanasis Antetokounmpo,30,MIL,PF,37,0,206,20,46,.435,0,8,.000,20,38,.526,.435,11,22,.500,15,29,44,15,3,3,12,22,51,0,,thanasis-antetokounmpo,82,2.2,0.4,5.6,0.9
Théo Maledon,21,CHO,PG,44,7,854,102,254,.402,28,95,.295,74,159,.465,.457,63,74,.851,14,109,123,152,37,12,59,61,295,0,,theo-maledon,499,11.3,0.58,19.4,6.6
Theo Pinson,27,DAL,SG,40,1,323,31,87,.356,22,62,.355,9,25,.360,.483,11,13,.846,10,53,63,46,6,1,12,34,95,1,,theo-pinson,165,4.1,0.51,8.1,2.1
