Player,Player Link,Player Key,Team,Team Link,Age,Position,2024-25,2025-26,2026-27,2027-28,2028-29
Kyle Filipowski,https://www.spotrac.com/nba/player/_/id/91757,kyle-filipowski,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly,21,PF,$3000000,$3000000,$3000000,$3000000,RFA
Kyle Kuzma,https://www.spotrac.com/nba/player/_/id/23622,kyle-kuzma,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly,29,PF,$23522727,$21477273,$19431818,UFA,
Kyle Lowry,https://www.spotrac.com/nba/player/_/id/2536,kyle-lowry,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly,38,PG,$2087519,UFA,,,
Kyrie Irving,https://www.spotrac.com/nba/player/_/id/8051,kyrie-irving,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly,32,PG,$41000000,$43962963,UFA,,
Kyshawn George,https://www.spotrac.com/nba/player/_/id/91765,kyshawn-george,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly,21,SG,$2825520,$2966760,$3108000,$5435892,RFA
LaMelo Ball,https://www.spotrac.com/nba/player/_/id/70645,lamelo-ball,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly,23,PG,$35147000,$37958760,$40770520,$43582280,$46394040
Larry Nance Jr.,https://www.spotrac.com/nba/player/_/id/17855,larry-nance,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly,32,PF,$11205000,UFA,,,
Lauri Markkanen,https://www.spotrac.com/nba/player/_/id/23602,lauri-markkanen,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly,27,PF,$42176400,$46394100,$46113154,$49824681,$53536209
LeBron James,https://www.spotrac.com/nba/player/_/id/2257,lebron-james,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly,40,PF,$48728845,$52627153,UFA,,
Leonard Miller,https://www.spotrac.com/nba/player/_/id/82215,leonard-miller,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly,21,SF,$1891857,$2221677,$2406205,UFA,
Liam Robbins,https://www.spotrac.com/nba/player/_/id/86046,liam-robbins,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,25,C,Two-Way,RFA,,,
Lindy Waters III,https://www.spotrac.com/nba/player/_/id/75746,lindy-waters,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly,27,SF,$2196970,UFA,,,
Lonzo Ball,https://www.spotrac.com/nba/player/_/id/23597,lonzo-ball,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly,27,PG,$21395348,UFA,,,
Luguentz Dort,https://www.spotrac.com/nba/player/_/id/33033,luguentz-dort,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly,25,SG,$16500000,$17722222,$17722222,UFA,
