Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Link,Team Link,Player Key,FP,FPPG,FPPM,MPG,FPR
Bruce Brown,,DEN,,76,,1855,,,,,,,,,,,,,,,,289,157,75,18,82,179,590,,,https://www.nba.com/player/bruce-brown,https://www.nba.com/team/DEN,bruce-brown,868,11.4,0.47,24.4,5.3
Bryce McGowens,,NOP,,42,,880,,,,,,,,,,,,,,,,88,62,27,8,17,88,340,,,https://www.nba.com/player/bryce-mcgowens,https://www.nba.com/team/NOP,bryce-mcgowens,420,10.0,0.48,21.0,4.8
Bub Carrington,,WAS,,75,,2068,,,,,,,,,,,,,,,,262,342,47,15,171,169,765,,,https://www.nba.com/player/bub-carrington,https://www.nba.com/team/WAS,bub-carrington,1091,14.5,0.53,27.6,7.7
Buddy Boeheim,,OKC,,4,,15,,,,,,,,,,,,,,,,0,0,0,0,0,1,6,,,https://www.nba.com/player/buddy-boeheim,https://www.nba.com/team/OKC,buddy-boeheim,5,1.2,0.33,3.8,0.4
Buddy Hield,,ATL,,49,,794,,,,,,,,,,,,,,,,113,68,38,9,47,57,359,,,https://www.nba.com/player/buddy-hield,https://www.nba.com/team/ATL,buddy-hield,483,9.9,0.61,16.2,6.0
Cade Cunningham,,DET,,61,,2096,,,,,,,,,,,,,,,,340,603,90,52,226,192,1497,,,https://www.nba.com/player/cade-cunningham,https://www.nba.com/team/DET,cade-cunningham,2164,35.5,1.03,34.4,36.6
Caleb Houstan,,ATL,,16,,69,,,,,,,,,,,,,,,,7,3,2,1,4,9,31,,,https://www.nba.com/player/caleb-houstan,https://www.nba.com/team/ATL,caleb-houstan,31,1.9,0.45,4.3,0.9
Caleb Love,,POR,,46,,1008,,,,,,,,,,,,,,,,114,123,27,4,61,48,507,,,https://www.nba.com/player/caleb-love,https://www.nba.com/team/POR,caleb-love,666,14.5,0.66,21.9,9.6
Caleb Martin,,DAL,,58,,856,,,,,,,,,,,,,,,,143,81,40,15,40,86,227,,,https://www.nba.com/player/caleb-martin,https://www.nba.com/team/DAL,caleb-martin,380,6.6,0.44,14.8,2.9
Cam Christie,,LAC,,49,,454,,,,,,,,,,,,,,,,74,30,16,3,20,18,152,,,https://www.nba.com/player/cam-christie,https://www.nba.com/team/LAC,cam-christie,237,4.8,0.52,9.3,2.5
Cam Spencer,,MEM,,70,,1672,,,,,,,,,,,,,,,,181,383,51,11,90,98,779,,,https://www.nba.com/player/cam-spencer,https://www.nba.com/team/MEM,cam-spencer,1217,17.4,0.73,23.9,12.7
Cam Whitmore,,WAS,,21,,354,,,,,,,,,,,,,,,,58,15,15,8,18,25,193,,,https://www.nba.com/player/cam-whitmore,https://www.nba.com/team/WAS,cam-whitmore,246,11.7,0.69,16.9,8.1
Cameron Johnson,,DEN,,50,,1506,,,,,,,,,,,,,,,,181,116,35,19,42,116,589,,,https://www.nba.com/player/cameron-johnson,https://www.nba.com/team/DEN,cameron-johnson,782,15.6,0.52,30.1,8.1
Cameron Payne,,PHI,,20,,352,,,,,,,,,,,,,,,,38,56,24,6,11,27,157,,,https://www.nba.com/player/cameron-payne,https://www.nba.com/team/PHI,cameron-payne,243,12.2,0.69,17.6,8.4
Cam Thomas,,MIL,,42,,881,,,,,,,,,,,,,,,,71,108,9,4,74,43,567,,,https://www.nba.com/player/cameron-thomas,https://www.nba.com/team/MIL,cameron-thomas,642,15.3,0.73,21.0,11.1
