"Player Link","Player Key","Signed Using","Formatted Signed Using"
"https://www.spotrac.com/nba/player/_/id/78128","dalen-terry","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/91749","dalton-knecht","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/10814","damian-lillard","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/21063","damion-lee","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/17830","dangelo-russell","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/31597","daniel-gafford","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/23828","daniel-theis","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/15357","dante-exum","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/32680","daquan-jeffries","Early Bird Rights","Early Bird Rights"
"https://www.spotrac.com/nba/player/_/id/15364","dario-saric","taxpayer-mid-level-exception","Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/82273","dariq-whitehead","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/31562","darius-garland","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/91791","daron-holmes","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/78149","david-roddy","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/74116","davion-mitchell","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/74136","dayron-sharpe","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/23600","deaaron-fox","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/31963","dean-wade","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/26967","deandre-ayton","cap-space","Cap Space"
"https://www.spotrac.com/nba/player/_/id/31561","deandre-hunter","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/6117","deandre-jordan","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/27012","deanthony-melton","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/20234","dejounte-murray","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/17848","delon-wright","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/6327","demar-derozan","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/70651","deni-avdija","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/13330","dennis-schroder","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/82272","dereck-lively","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/21067","derrick-jones","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/23624","derrick-white","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/70672","desmond-bane","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/17841","devin-booker","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/91758","devin-carter","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/70653","devin-vassell","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/23646","dillon-brooks","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/91778","dillon-jones","rookie-scale-exception","Rookie Scale Exception"
