Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key
Miles Bridges,26,CHO,PF,9,9,271,47,117,.402,15,52,.288,32,65,.492,.466,27,32,.844,7,54,61,23,5,4,14,12,136,0,,miles-bridges
Miles McBride,24,NYK,PG,11,0,290,44,100,.440,22,58,.379,22,42,.524,.550,8,10,.800,4,21,25,28,12,3,12,19,118,0,,miles-mcbride
Monte Morris,29,PHO,PG,9,0,103,13,34,.382,6,17,.353,7,17,.412,.471,10,12,.833,2,9,11,13,4,3,2,2,42,0,,monte-morris
Moritz Wagner,27,ORL,C,14,1,261,60,110,.545,13,38,.342,47,72,.653,.605,44,55,.800,11,51,62,13,10,3,27,28,177,0,,moritz-wagner
Moses Moody,22,GSW,SG,12,4,194,39,81,.481,22,48,.458,17,33,.515,.617,15,21,.714,6,19,25,12,4,3,12,14,115,0,,moses-moody
Mouhamed Gueye,22,ATL,PF,2,0,11,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,0,2,2,0,0,0,1,0,2,0,,mouhamed-gueye
Moussa Diabaté,23,CHO,PF,12,0,197,24,35,.686,0,0,,24,35,.686,.686,3,8,.375,36,55,91,7,4,11,11,15,51,0,,moussa-diabate
Myles Turner,28,IND,C,11,11,355,62,136,.456,23,58,.397,39,78,.500,.540,30,44,.682,8,65,73,16,11,19,29,38,177,0,,myles-turner
Naji Marshall,27,DAL,SF,13,4,306,45,92,.489,4,27,.148,41,65,.631,.511,14,14,1.000,14,33,47,37,15,2,13,19,108,0,,naji-marshall
Naz Reid,25,MIN,C,13,0,324,72,134,.537,31,68,.456,41,66,.621,.653,25,27,.926,9,60,69,22,6,6,13,32,200,0,,naz-reid
Neemias Queta,25,BOS,C,13,4,247,38,58,.655,0,2,.000,38,56,.679,.655,9,12,.750,27,44,71,8,2,11,8,24,85,0,,neemias-queta
Nic Claxton,25,BRK,C,11,5,273,41,63,.651,0,0,,41,63,.651,.651,13,28,.464,22,63,85,28,6,13,11,27,95,0,,nic-claxton
Nick Richards,27,CHO,C,5,5,137,21,33,.636,0,1,.000,21,32,.656,.636,13,22,.591,20,30,50,9,2,12,7,14,55,0,,nick-richards
Nick Smith Jr.,20,CHO,SG,4,0,21,3,10,.300,1,5,.200,2,5,.400,.350,0,0,,0,1,1,1,1,0,1,1,7,0,,nick-smith
Nickeil Alexander-Walker,26,MIN,SG,13,1,311,41,79,.519,23,47,.489,18,32,.563,.665,10,14,.714,8,26,34,35,14,4,19,16,115,0,,nickeil-alexander-walker
