"Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp-Dbl","Awards","Player Key"
"Carlton Carrington","19","WAS","PG","12","11","362","42","96",".438","17","46",".370","25","50",".500",".526","16","20",".800","3","50","53","63","16","4","22","39","117","0","","carlton-carrington"
"Cason Wallace","21","OKC","SG","14","6","352","38","96",".396","10","40",".250","28","56",".500",".448","3","3","1.000","9","36","45","22","24","7","7","28","89","0","","cason-wallace"
"Charles Bassey","24","SAS","C","7","0","39","3","7",".429","0","0","","3","7",".429",".429","2","2","1.000","2","11","13","3","3","4","3","1","8","0","","charles-bassey"
"Chet Holmgren","22","OKC","C","10","10","265","56","111",".505","14","37",".378","42","74",".568",".568","38","49",".776","16","71","87","20","8","26","23","18","164","0","","chet-holmgren"
"Chris Boucher","32","TOR","PF","14","0","261","58","115",".504","18","53",".340","40","62",".645",".583","22","30",".733","18","46","64","10","6","10","10","15","156","0","","chris-boucher"
"Chris Duarte","27","CHI","SG","6","0","28","6","10",".600","3","7",".429","3","3","1.000",".750","6","8",".750","1","3","4","2","0","0","0","1","21","0","","chris-duarte"
"Chris Livingston","21","MIL","SF","1","0","2","0","1",".000","0","0","","0","1",".000",".000","0","0","","0","0","0","0","0","0","0","0","0","0","","chris-livingston"
"Chris Paul","39","SAS","PG","14","14","396","51","110",".464","27","71",".380","24","39",".615",".586","17","17","1.000","6","46","52","117","20","1","28","27","146","0","","chris-paul"
"Christian Braun","23","DEN","SG","12","12","425","70","128",".547","17","38",".447","53","90",".589",".613","34","42",".810","14","48","62","23","15","9","14","29","191","0","","christian-braun"
"Christian Koloko","24","LAL","C","5","0","48","7","10",".700","0","1",".000","7","9",".778",".700","0","0","","5","5","10","2","2","2","2","6","14","0","","christian-koloko"
"CJ McCollum","33","NOP","PG","4","4","137","29","65",".446","13","34",".382","16","31",".516",".546","4","6",".667","1","13","14","16","9","4","8","6","75","0","","cj-mccollum"
"Clint Capela","30","ATL","C","14","14","309","66","105",".629","0","0","","66","105",".629",".629","20","32",".625","44","65","109","18","7","9","13","28","152","0","","clint-capela"
"Coby White","24","CHI","SG","14","14","460","89","202",".441","49","125",".392","40","77",".519",".562","46","52",".885","3","43","46","67","20","3","40","35","273","0","","coby-white"
"Cody Martin","29","CHO","SF","13","3","318","43","92",".467","18","46",".391","25","46",".543",".565","14","20",".700","15","41","56","26","12","7","13","25","118","0","","cody-martin"
"Cody Williams","20","UTA","SG","13","7","267","18","62",".290","7","34",".206","11","28",".393",".347","6","10",".600","8","24","32","18","7","4","10","16","49","0","","cody-williams"
"Colby Jones","22","SAC","SG","6","0","12","2","2","1.000","1","1","1.000","1","1","1.000","1.250","0","0","","0","0","0","0","0","1","2","2","5","0","","colby-jones"
"Cole Anthony","24","ORL","PG","12","0","127","16","48",".333","6","23",".261","10","25",".400",".396","13","19",".684","4","24","28","22","8","1","15","15","51","0","","cole-anthony"
"Colin Castleton","24","MEM","C","6","0","14","0","1",".000","0","1",".000","0","0","",".000","4","4","1.000","0","5","5","0","0","1","0","2","4","0","","colin-castleton"
"Collin Gillespie","25","PHO","PG","1","0","3","1","2",".500","1","1","1.000","0","1",".000",".750","0","0","","0","0","0","0","0","0","0","0","3","0","","collin-gillespie"
"Collin Sexton","26","UTA","SG","13","11","343","66","146",".452","22","50",".440","44","96",".458",".527","48","55",".873","9","29","38","39","10","2","32","40","202","0","","collin-sexton"
"Corey Kispert","25","WAS","SF","12","0","355","48","118",".407","24","73",".329","24","45",".533",".508","12","15",".800","2","34","36","19","8","1","12","19","132","0","","corey-kispert"
"Cory Joseph","33","ORL","PG","9","0","33","4","14",".286","4","11",".364","0","3",".000",".429","0","0","","2","4","6","7","1","2","1","3","12","0","","cory-joseph"
"Craig Porter Jr.","24","CLE","PG","10","0","70","8","15",".533","2","5",".400","6","10",".600",".600","3","4",".750","1","9","10","10","2","4","4","4","21","0","","craig-porter"
"Dalano Banton","25","POR","PG","12","0","168","44","92",".478","14","32",".438","30","60",".500",".554","23","33",".697","4","18","22","29","13","7","17","11","125","0","","dalano-banton"
"Dalen Terry","22","CHI","SG","14","0","184","21","46",".457","4","14",".286","17","32",".531",".500","13","19",".684","13","13","26","14","9","6","15","19","59","0","","dalen-terry"
"Dalton Knecht","23","LAL","SF","13","3","263","45","93",".484","23","57",".404","22","36",".611",".608","8","8","1.000","7","23","30","16","6","0","6","15","121","0","","dalton-knecht"
"Damian Lillard","34","MIL","PG","10","10","358","79","178",".444","32","92",".348","47","86",".547",".534","70","77",".909","8","38","46","66","10","2","27","19","260","0","","damian-lillard"
"Damion Lee","32","PHO","SG","3","0","34","3","9",".333","1","5",".200","2","4",".500",".389","4","4","1.000","0","5","5","4","1","0","2","1","11","0","","damion-lee"
"D'Angelo Russell","28","LAL","PG","13","8","364","56","138",".406","24","73",".329","32","65",".492",".493","21","23",".913","4","23","27","63","13","1","21","25","157","0","","dangelo-russell"
"Daniel Gafford","26","DAL","C","14","11","287","75","106",".708","0","0","","75","106",".708",".708","27","41",".659","42","49","91","15","6","18","12","44","177","0","","daniel-gafford"
"Daniel Theis","32","NOP","C","11","5","157","16","36",".444","2","10",".200","14","26",".538",".472","6","8",".750","8","31","39","15","3","7","8","14","40","0","","daniel-theis"
"Daniss Jenkins","23","DET","PG","2","0","5","0","2",".000","0","2",".000","0","0","",".000","0","0","","0","0","0","0","0","0","0","1","0","0","","daniss-jenkins"
"Dario Šarić","30","DEN","C","7","2","110","10","31",".323","3","13",".231","7","18",".389",".371","1","2",".500","7","19","26","9","4","0","6","8","24","0","","dario-saric"
