"Player","Player Link","Player Key","Signed Using"
"G.G. Jackson","https://www.spotrac.com/nba/player/_/id/85972","gg-jackson","Non-Taxpayer Mid-Level Exception"
"Giannis Antetokounmpo","https://www.spotrac.com/nba/player/_/id/13328","giannis-antetokounmpo",""
"Goga Bitadze","https://www.spotrac.com/nba/player/_/id/31575","goga-bitadze","Early Bird Rights"
"Gradey Dick","https://www.spotrac.com/nba/player/_/id/82204","gradey-dick","Rookie Scale Exception"
"Grant Williams","https://www.spotrac.com/nba/player/_/id/31579","grant-williams","Bird Rights"
"Grayson Allen","https://www.spotrac.com/nba/player/_/id/26987","grayson-allen","Bird Rights"
"Guerschon Yabusele","https://www.spotrac.com/nba/player/_/id/20221","guerschon-yabusele","Minimum"
"Gui Santos","https://www.spotrac.com/nba/player/_/id/78165","gui-santos","Second Round Exception"
"Harrison Barnes","https://www.spotrac.com/nba/player/_/id/10815","harrison-barnes","Bird Rights"
"Haywood Highsmith","https://www.spotrac.com/nba/player/_/id/28301","haywood-highsmith","Bird Rights"
"Herb Jones","https://www.spotrac.com/nba/player/_/id/74142","herb-jones","Early Bird Rights"
"Hunter Tyson","https://www.spotrac.com/nba/player/_/id/84466","hunter-tyson","Second Round Exception"
"Immanuel Quickley","https://www.spotrac.com/nba/player/_/id/70667","immanuel-quickley","Bird Rights"
"Isaac Okoro","https://www.spotrac.com/nba/player/_/id/70647","isaac-okoro","Bird Rights"
"Isaiah Collier","https://www.spotrac.com/nba/player/_/id/91753","isaiah-collier","Rookie Scale Exception"
"Isaiah Hartenstein","https://www.spotrac.com/nba/player/_/id/23644","isaiah-hartenstein","Cap Space"
"Isaiah Jackson","https://www.spotrac.com/nba/player/_/id/74129","isaiah-jackson","Rookie Scale Exception"
"Isaiah Joe","https://www.spotrac.com/nba/player/_/id/70691","isaiah-joe","Early Bird Rights"
"Isaiah Stewart","https://www.spotrac.com/nba/player/_/id/70658","isaiah-stewart","Bird Rights"
"Ivica Zubac","https://www.spotrac.com/nba/player/_/id/20238","ivica-zubac","Bird Rights"
"Ja Morant","https://www.spotrac.com/nba/player/_/id/31559","ja-morant","Bird Rights"
"Jabari Smith Jr.","https://www.spotrac.com/nba/player/_/id/78109","jabari-smith","Rookie Scale Exception"
"Jabari Walker","https://www.spotrac.com/nba/player/_/id/78167","jabari-walker","Non-Taxpayer Mid-Level Exception"
"Jaden Hardy","https://www.spotrac.com/nba/player/_/id/78130","jaden-hardy","Early Bird Rights"
"Jaden Ivey","https://www.spotrac.com/nba/player/_/id/78111","jaden-ivey","Rookie Scale Exception"
"Jaden McDaniels","https://www.spotrac.com/nba/player/_/id/70670","jaden-mcdaniels","Bird Rights"
"Jaden Springer","https://www.spotrac.com/nba/player/_/id/74135","jaden-springer","Rookie Scale Exception"
"Jae’Sean Tate","https://www.spotrac.com/nba/player/_/id/70758","jaesean-tate","Early Bird Rights"
"Jaime Jaquez Jr.","https://www.spotrac.com/nba/player/_/id/82323","jaime-jaquez","Rookie Scale Exception"
"Jake LaRavia","https://www.spotrac.com/nba/player/_/id/78141","jake-laravia","Rookie Scale Exception"
"Jakob Poeltl","https://www.spotrac.com/nba/player/_/id/20214","jakob-poeltl","Bird Rights"
"Ja'Kobe Walter","https://www.spotrac.com/nba/player/_/id/91754","jakobe-walter","Rookie Scale Exception"
"Jalen Brunson","https://www.spotrac.com/nba/player/_/id/26999","jalen-brunson","Bird Rights"
"Jalen Duren","https://www.spotrac.com/nba/player/_/id/78116","jalen-duren","Rookie Scale Exception"
"Jalen Green","https://www.spotrac.com/nba/player/_/id/74109","jalen-green","Bird Rights"
"Jalen Hood-Schifino","https://www.spotrac.com/nba/player/_/id/82210","jalen-hood-schifino","Rookie Scale Exception"
"Jalen Johnson","https://www.spotrac.com/nba/player/_/id/74127","jalen-johnson","Bird Rights"
"Jalen Pickett","https://www.spotrac.com/nba/player/_/id/84465","jalen-pickett","Second Round Exception"
"Jalen Smith","https://www.spotrac.com/nba/player/_/id/70652","jalen-smith","Non-Taxpayer Mid-Level Exception"
"Jalen Suggs","https://www.spotrac.com/nba/player/_/id/74112","jalen-suggs","Bird Rights"
"Jalen Williams","https://www.spotrac.com/nba/player/_/id/78126","jalen-williams","Rookie Scale Exception"
"Jalen Wilson","https://www.spotrac.com/nba/player/_/id/84477","jalen-wilson","Non-Taxpayer Mid-Level Exception"
"Jamal Murray","https://www.spotrac.com/nba/player/_/id/20212","jamal-murray","Bird Rights"
"Jamal Shead","https://www.spotrac.com/nba/player/_/id/93955","jamal-shead","Second Round Exception"
"James Harden","https://www.spotrac.com/nba/player/_/id/6312","james-harden","Bird Rights"
"James Johnson","https://www.spotrac.com/nba/player/_/id/6279","james-johnson","Minimum"
"James Wiseman","https://www.spotrac.com/nba/player/_/id/70644","james-wiseman","Minimum"
"Jarace Walker","https://www.spotrac.com/nba/player/_/id/82201","jarace-walker","Rookie Scale Exception"
"Jared McCain","https://www.spotrac.com/nba/player/_/id/91760","jared-mccain","Rookie Scale Exception"
"Jaren Jackson Jr.","https://www.spotrac.com/nba/player/_/id/26970","jaren-jackson","Bird Rights"
"Jarred Vanderbilt","https://www.spotrac.com/nba/player/_/id/27007","jarred-vanderbilt","Bird Rights"
"Jarrett Allen","https://www.spotrac.com/nba/player/_/id/23617","jarrett-allen","Bird Rights"
"Javonte Green","https://www.spotrac.com/nba/player/_/id/32409","javonte-green","Minimum"
"Jaxson Hayes","https://www.spotrac.com/nba/player/_/id/31565","jaxson-hayes","Minimum"
"Jay Huff","https://www.spotrac.com/nba/player/_/id/74262","jay-huff","Non-Taxpayer Mid-Level Exception"
"Jaylen Brown","https://www.spotrac.com/nba/player/_/id/20208","jaylen-brown","Bird Rights"
"Jaylen Nowell","https://www.spotrac.com/nba/player/_/id/31602","jaylen-nowell","Minimum"
"Jaylen Wells","https://www.spotrac.com/nba/player/_/id/93952","jaylen-wells","Second Round Exception"
"Jaylin Williams","https://www.spotrac.com/nba/player/_/id/78150","jaylin-williams","Non-Taxpayer Mid-Level Exception"
"Jaylon Tyson","https://www.spotrac.com/nba/player/_/id/91773","jaylon-tyson","Rookie Scale Exception"
"Jayson Tatum","https://www.spotrac.com/nba/player/_/id/23598","jayson-tatum","Bird Rights"
"Jeff Green","https://www.spotrac.com/nba/player/_/id/2720","jeff-green","Cap Space"
"Jerami Grant","https://www.spotrac.com/nba/player/_/id/15391","jerami-grant","Bird Rights"
"Jeremiah Robinson-Earl","https://www.spotrac.com/nba/player/_/id/74139","jeremiah-robinson-earl","Minimum"
"Jeremy Sochan","https://www.spotrac.com/nba/player/_/id/78122","jeremy-sochan","Rookie Scale Exception"
"Jericho Sims","https://www.spotrac.com/nba/player/_/id/74166","jericho-sims","Cap Space"
"Jett Howard","https://www.spotrac.com/nba/player/_/id/82211","jett-howard","Rookie Scale Exception"
