Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Link,Team Link,Player Key,FP,FPPG,FPPM,MPG,FPR
Alec Burks,30,NYK,SG,81,44,2318,285,728,.391,157,389,.404,128,339,.378,.499,217,264,.822,47,350,397,239,85,26,91,215,944,0,,https://www.basketball-reference.com/players/b/burksal01.html,https://www.basketball-reference.com/teams/NYK/2022.html,alec-burks,1385,17.1,0.6,28.6,10.2
Aleem Ford,24,ORL,SF,5,0,74,6,20,.300,2,15,.133,4,5,.800,.350,0,0,,2,13,15,2,1,0,4,7,14,0,,https://www.basketball-reference.com/players/f/fordal03.html,https://www.basketball-reference.com/teams/ORL/2022.html,aleem-ford,21,4.2,0.28,14.8,1.2
Aleksej Pokusevski,20,OKC,PF,61,12,1233,186,456,.408,57,197,.289,129,259,.498,.470,35,50,.700,73,245,318,131,39,38,94,88,464,1,,https://www.basketball-reference.com/players/p/pokusal01.html,https://www.basketball-reference.com/teams/OKC/2022.html,aleksej-pokusevski,808,13.2,0.66,20.2,8.7
Alex Caruso,27,CHI,SG,41,18,1147,102,256,.398,42,126,.333,60,130,.462,.480,58,73,.795,33,115,148,165,71,15,57,106,304,0,,https://www.basketball-reference.com/players/c/carusal01.html,https://www.basketball-reference.com/teams/CHI/2022.html,alex-caruso,540,13.2,0.47,28.0,6.2
Alex Len,28,SAC,C,39,10,620,94,176,.534,6,21,.286,88,155,.568,.551,41,63,.651,52,109,161,45,13,25,43,100,235,0,,https://www.basketball-reference.com/players/l/lenal01.html,https://www.basketball-reference.com/teams/SAC/2022.html,alex-len,336,8.6,0.54,15.9,4.7
Alfonzo McKinnie,29,CHI,SF,17,3,206,24,61,.393,9,27,.333,15,34,.441,.467,2,8,.250,13,20,33,5,2,3,7,26,59,0,,https://www.basketball-reference.com/players/m/mckinal01.html,https://www.basketball-reference.com/teams/CHI/2022.html,alfonzo-mckinnie,69,4.1,0.33,12.1,1.4
Alize Johnson,25,3TM,PF,23,0,167,17,39,.436,0,4,.000,17,35,.486,.436,7,12,.583,28,33,61,9,5,0,12,18,41,0,,https://www.basketball-reference.com/players/j/johnsal02.html,0,alize-johnson,86,3.7,0.51,7.3,1.9
Alperen Sengun,19,HOU,C,72,13,1489,249,525,.474,29,117,.248,220,408,.539,.502,165,232,.711,138,255,393,185,59,68,145,214,692,0,,https://www.basketball-reference.com/players/s/sengual01.html,https://www.basketball-reference.com/teams/HOU/2022.html,alperen-sengun,1038,14.4,0.7,20.7,10.1
Amir Coffey,24,LAC,SG,69,30,1567,211,466,.453,96,254,.378,115,212,.542,.556,101,117,.863,26,171,197,124,38,15,45,87,619,0,,https://www.basketball-reference.com/players/c/coffeam01.html,https://www.basketball-reference.com/teams/LAC/2022.html,amir-coffey,861,12.5,0.55,22.7,6.9
Andre Drummond,28,2TM,C,73,36,1437,247,433,.570,0,3,.000,247,430,.574,.570,86,164,.524,229,451,680,131,78,68,115,192,580,0,,https://www.basketball-reference.com/players/d/drumman01.html,0,andre-drummond,1230,16.8,0.86,19.7,14.4
Andre Iguodala,38,GSW,SF,31,0,603,46,121,.380,17,74,.230,29,47,.617,.450,15,20,.750,21,79,100,114,27,22,28,34,124,0,,https://www.basketball-reference.com/players/i/iguodan01.html,https://www.basketball-reference.com/teams/GSW/2022.html,andre-iguodala,325,10.5,0.54,19.5,5.7
Andrew Wiggins,26,GSW,SF,73,73,2330,475,1019,.466,157,399,.393,318,620,.513,.543,149,235,.634,85,240,325,161,76,51,111,158,1256,0,AS,https://www.basketball-reference.com/players/w/wiggian01.html,https://www.basketball-reference.com/teams/GSW/2022.html,andrew-wiggins,1600,21.9,0.69,31.9,15.1
Anfernee Simons,22,POR,SG,57,30,1681,353,797,.443,179,442,.405,174,355,.490,.555,103,116,.888,26,125,151,221,30,6,115,110,988,0,,https://www.basketball-reference.com/players/s/simonan01.html,https://www.basketball-reference.com/teams/POR/2022.html,anfernee-simons,1171,20.5,0.7,29.5,14.3
Anthony Davis,28,LAL,C,40,40,1404,370,695,.532,13,70,.186,357,625,.571,.542,174,244,.713,106,288,394,122,49,90,82,97,927,0,,https://www.basketball-reference.com/players/d/davisan02.html,https://www.basketball-reference.com/teams/LAL/2022.html,anthony-davis,1403,35.1,1.0,35.1,35.1
Anthony Edwards,20,MIN,SG,72,72,2466,549,1245,.441,215,602,.357,334,643,.519,.527,220,280,.786,62,281,343,275,105,46,190,164,1533,0,,https://www.basketball-reference.com/players/e/edwaran01.html,https://www.basketball-reference.com/teams/MIN/2022.html,anthony-edwards,1948,27.1,0.79,34.2,21.4
Anthony Gill,29,WAS,PF,44,0,463,62,109,.569,14,26,.538,48,83,.578,.633,42,52,.808,33,52,85,27,5,11,18,58,180,0,,https://www.basketball-reference.com/players/g/gillan01.html,https://www.basketball-reference.com/teams/WAS/2022.html,anthony-gill,232,5.3,0.5,10.5,2.6
Anthony Lamb,24,SAS,SF,2,0,8,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,2,0,0,0,0,0,0,,https://www.basketball-reference.com/players/l/lamban01.html,https://www.basketball-reference.com/teams/SAS/2022.html,anthony-lamb,3,1.5,0.38,4.0,0.6
Armoni Brooks,23,2TM,SG,54,11,844,98,289,.339,74,249,.297,24,40,.600,.467,18,21,.857,20,83,103,62,28,11,27,74,288,0,,https://www.basketball-reference.com/players/b/brookar01.html,0,armoni-brooks,391,7.2,0.46,15.6,3.4
Arnoldas Kulboka,24,CHO,SF,2,0,5,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,1,0,0,,https://www.basketball-reference.com/players/k/kulboar01.html,https://www.basketball-reference.com/teams/CHO/2022.html,arnoldas-kulboka,-1,-0.5,-0.2,2.5,0.1
Austin Reaves,23,LAL,SG,61,19,1418,146,318,.459,53,167,.317,93,151,.616,.542,99,118,.839,45,148,193,110,29,20,40,87,444,1,,https://www.basketball-reference.com/players/r/reaveau01.html,https://www.basketball-reference.com/teams/LAL/2022.html,austin-reaves,669,11.0,0.47,23.2,5.2
Austin Rivers,29,DEN,SG,67,18,1480,146,350,.417,79,231,.342,67,119,.563,.530,32,44,.727,19,95,114,90,51,6,54,121,403,0,,https://www.basketball-reference.com/players/r/riverau01.html,https://www.basketball-reference.com/teams/DEN/2022.html,austin-rivers,489,7.3,0.33,22.1,2.4
Avery Bradley,31,LAL,SG,62,45,1406,148,350,.423,82,210,.390,66,140,.471,.540,16,18,.889,31,105,136,47,53,9,38,118,394,0,,https://www.basketball-reference.com/players/b/bradlav01.html,https://www.basketball-reference.com/teams/LAL/2022.html,avery-bradley,483,7.8,0.34,22.7,2.7
Ayo Dosunmu,22,CHI,SG,77,40,2110,278,535,.520,70,186,.376,208,349,.596,.585,53,78,.679,27,187,214,256,60,29,108,182,679,0,,https://www.basketball-reference.com/players/d/dosunay01.html,https://www.basketball-reference.com/teams/CHI/2022.html,ayo-dosunmu,948,12.3,0.45,27.4,5.5
Bam Adebayo,24,MIA,C,56,56,1825,406,729,.557,0,6,.000,406,723,.562,.557,256,340,.753,137,427,564,190,80,44,148,171,1068,0,DPOY-4,https://www.basketball-reference.com/players/a/adebaba01.html,https://www.basketball-reference.com/teams/MIA/2022.html,bam-adebayo,1627,29.1,0.89,32.6,25.9
Ben McLemore,28,POR,SG,64,6,1285,216,539,.401,151,417,.362,65,122,.533,.541,72,88,.818,12,91,103,59,38,10,55,103,655,0,,https://www.basketball-reference.com/players/m/mclembe01.html,https://www.basketball-reference.com/teams/POR/2022.html,ben-mclemore,707,11.0,0.55,20.1,6.1
Bismack Biyombo,29,PHO,C,36,3,506,86,145,.593,0,0,,86,145,.593,.593,38,71,.535,63,104,167,23,12,26,25,70,210,0,,https://www.basketball-reference.com/players/b/biyombi01.html,https://www.basketball-reference.com/teams/PHO/2022.html,bismack-biyombo,343,9.5,0.68,14.1,6.5
B.J. Johnson,26,ORL,SF,4,0,65,11,25,.440,4,10,.400,7,15,.467,.520,0,0,,6,9,15,0,0,1,0,4,26,0,,https://www.basketball-reference.com/players/j/johnsbj01.html,https://www.basketball-reference.com/teams/ORL/2022.html,bj-johnson,38,9.5,0.58,16.2,5.6
Blake Griffin,32,BRK,C,56,24,958,133,313,.425,38,145,.262,95,168,.565,.486,55,76,.724,60,168,228,105,27,14,31,95,359,0,,https://www.basketball-reference.com/players/g/griffbl01.html,https://www.basketball-reference.com/teams/BRK/2022.html,blake-griffin,607,10.8,0.63,17.1,6.9
Boban Marjanović,33,DAL,C,23,0,128,42,70,.600,1,4,.250,41,66,.621,.607,13,22,.591,8,31,39,3,0,3,15,24,98,0,,https://www.basketball-reference.com/players/m/marjabo01.html,https://www.basketball-reference.com/teams/DAL/2022.html,boban-marjanovic,104,4.5,0.81,5.6,3.7
Bobby Portis,26,MIL,C,72,59,2028,417,871,.479,133,338,.393,284,533,.533,.555,85,113,.752,180,477,657,86,53,51,90,174,1052,0,,https://www.basketball-reference.com/players/p/portibo01.html,https://www.basketball-reference.com/teams/MIL/2022.html,bobby-portis,1635,22.7,0.81,28.2,18.3
Bogdan Bogdanović,29,ATL,SG,63,27,1848,342,794,.431,169,459,.368,173,335,.516,.537,97,115,.843,29,221,250,194,68,14,70,132,950,0,6MOY-6,https://www.basketball-reference.com/players/b/bogdabo01.html,https://www.basketball-reference.com/teams/ATL/2022.html,bogdan-bogdanovic,1274,20.2,0.69,29.3,13.9
Bojan Bogdanović,32,UTA,PF,69,69,2131,422,928,.455,181,468,.387,241,460,.524,.552,223,260,.858,58,238,296,120,34,1,118,116,1248,0,,https://www.basketball-reference.com/players/b/bogdabo02.html,https://www.basketball-reference.com/teams/UTA/2022.html,bojan-bogdanovic,1465,21.2,0.69,30.9,14.6
Bol Bol,22,DEN,PF,14,0,81,15,27,.556,1,4,.250,14,23,.609,.574,2,5,.400,4,16,20,5,1,2,4,4,33,0,,https://www.basketball-reference.com/players/b/bolbo01.html,https://www.basketball-reference.com/teams/DEN/2022.html,bol-bol,53,3.8,0.65,5.8,2.5
Bones Hyland,21,DEN,SG,69,4,1310,230,571,.403,131,358,.366,99,213,.465,.518,107,125,.856,14,174,188,191,41,20,86,153,698,0,,https://www.basketball-reference.com/players/h/hylanbo01.html,https://www.basketball-reference.com/teams/DEN/2022.html,bones-hyland,899,13.0,0.69,19.0,8.9
Brad Wanamaker,32,2TM,PG,23,2,320,28,77,.364,4,17,.235,24,60,.400,.390,23,25,.920,6,33,39,55,7,6,23,45,83,0,,https://www.basketball-reference.com/players/w/wanambr01.html,0,brad-wanamaker,122,5.3,0.38,13.9,2.0
Bradley Beal,28,WAS,SG,40,40,1439,348,771,.451,63,210,.300,285,561,.508,.492,169,203,.833,38,151,189,265,36,15,135,95,928,0,,https://www.basketball-reference.com/players/b/bealbr01.html,https://www.basketball-reference.com/teams/WAS/2022.html,bradley-beal,1203,30.1,0.84,36.0,25.1
Brandon Boston Jr.,20,LAC,SG,51,0,760,125,325,.385,34,111,.306,91,214,.425,.437,59,72,.819,17,94,111,51,26,13,31,43,343,0,,https://www.basketball-reference.com/players/b/bostobr01.html,https://www.basketball-reference.com/teams/LAC/2022.html,brandon-boston,470,9.2,0.62,14.9,5.7
Brandon Clarke,25,MEM,PF,64,1,1246,288,447,.644,5,22,.227,283,425,.666,.650,85,130,.654,135,207,342,86,39,68,34,122,666,0,6MOY-11,https://www.basketball-reference.com/players/c/clarkbr01.html,https://www.basketball-reference.com/teams/MEM/2022.html,brandon-clarke,1045,16.3,0.84,19.5,13.7
Brandon Goodwin,26,CLE,PG,36,5,502,64,154,.416,19,55,.345,45,99,.455,.477,24,38,.632,14,53,67,91,25,1,36,39,171,0,,https://www.basketball-reference.com/players/g/goodwbr01.html,https://www.basketball-reference.com/teams/CLE/2022.html,brandon-goodwin,280,7.8,0.56,13.9,4.3
Brandon Ingram,24,NOP,SF,55,55,1869,453,983,.461,74,226,.327,379,757,.501,.498,266,322,.826,35,285,320,307,34,26,151,119,1246,0,,https://www.basketball-reference.com/players/i/ingrabr01.html,https://www.basketball-reference.com/teams/NOP/2022.html,brandon-ingram,1663,30.2,0.89,34.0,26.9
Brandon Knight,30,DAL,PG,5,0,65,10,25,.400,4,17,.235,6,8,.750,.480,8,8,1.000,0,8,8,8,1,0,4,5,32,0,,https://www.basketball-reference.com/players/k/knighbr03.html,https://www.basketball-reference.com/teams/DAL/2022.html,brandon-knight,40,8.0,0.62,13.0,4.9
Brandon Williams,22,POR,PG,24,16,640,105,282,.372,31,106,.292,74,176,.420,.427,68,97,.701,19,55,74,94,24,10,58,52,309,0,,https://www.basketball-reference.com/players/w/willibr03.html,https://www.basketball-reference.com/teams/POR/2022.html,brandon-williams,401,16.7,0.63,26.7,10.5
Braxton Key,24,2TM,SF,11,0,197,33,72,.458,6,21,.286,27,51,.529,.500,7,13,.538,13,37,50,11,10,11,11,26,79,0,,https://www.basketball-reference.com/players/k/keybr01.html,0,braxton-key,124,11.3,0.63,17.9,7.1
Brodric Thomas,25,BOS,SG,12,0,60,8,18,.444,2,9,.222,6,9,.667,.500,3,5,.600,2,8,10,11,1,1,6,7,21,0,,https://www.basketball-reference.com/players/t/thomabr01.html,https://www.basketball-reference.com/teams/BOS/2022.html,brodric-thomas,31,2.6,0.52,5.0,1.3
Brook Lopez,33,MIL,C,13,11,298,61,131,.466,19,53,.358,42,78,.538,.538,20,23,.870,19,34,53,6,8,15,12,34,161,0,,https://www.basketball-reference.com/players/l/lopezbr01.html,https://www.basketball-reference.com/teams/MIL/2022.html,brook-lopez,197,15.2,0.66,22.9,10.0
Bruce Brown,25,BRK,SF,72,45,1774,256,506,.506,38,94,.404,218,412,.529,.543,97,128,.758,100,245,345,148,77,52,56,176,647,0,,https://www.basketball-reference.com/players/b/brownbr01.html,https://www.basketball-reference.com/teams/BRK/2022.html,bruce-brown,1037,14.4,0.58,24.6,8.4
Bruno Fernando,23,2TM,C,30,0,152,36,55,.655,1,2,.500,35,53,.660,.664,15,24,.625,18,37,55,7,1,11,14,24,88,0,,https://www.basketball-reference.com/players/f/fernabr01.html,0,bruno-fernando,124,4.1,0.82,5.1,3.4
Bryn Forbes,28,2TM,SG,75,2,1286,231,539,.429,122,295,.414,109,244,.447,.542,79,87,.908,10,83,93,75,25,5,56,95,663,0,,https://www.basketball-reference.com/players/f/forbebr01.html,0,bryn-forbes,710,9.5,0.55,17.1,5.2
Buddy Hield,29,2TM,SG,81,32,2499,446,1098,.406,262,716,.366,184,382,.482,.526,111,127,.874,66,287,353,229,73,25,153,184,1265,0,,https://www.basketball-reference.com/players/h/hieldbu01.html,0,buddy-hield,1608,19.9,0.64,30.9,12.8
Cade Cunningham,20,DET,SG,64,64,2088,429,1031,.416,114,363,.314,315,668,.472,.471,142,168,.845,58,296,354,356,78,43,234,200,1114,2,ROY-3,https://www.basketball-reference.com/players/c/cunnica01.html,https://www.basketball-reference.com/teams/DET/2022.html,cade-cunningham,1511,23.6,0.72,32.6,17.1
Caleb Martin,26,MIA,SF,60,12,1372,208,410,.507,64,155,.413,144,255,.565,.585,71,93,.763,70,160,230,64,58,30,52,104,551,0,,https://www.basketball-reference.com/players/m/martica02.html,https://www.basketball-reference.com/teams/MIA/2022.html,caleb-martin,777,13.0,0.57,22.9,7.3
Cam Reddish,22,2TM,SF,49,7,1012,165,408,.404,66,184,.359,99,224,.442,.485,101,112,.902,25,80,105,48,47,15,57,60,497,0,,https://www.basketball-reference.com/players/r/reddica01.html,0,cam-reddish,595,12.1,0.59,20.7,7.1
Cam Thomas,20,BRK,SG,67,2,1176,218,503,.433,47,174,.270,171,329,.520,.480,87,105,.829,16,145,161,78,33,8,55,66,570,0,,https://www.basketball-reference.com/players/t/thomaca02.html,https://www.basketball-reference.com/teams/BRK/2022.html,cam-thomas,729,10.9,0.62,17.6,6.7
Cameron Johnson,25,PHO,PF,66,16,1730,279,607,.460,166,391,.425,113,216,.523,.596,98,114,.860,42,231,273,99,57,16,47,113,822,0,6MOY-3,https://www.basketball-reference.com/players/j/johnsca02.html,https://www.basketball-reference.com/teams/PHO/2022.html,cameron-johnson,1107,16.8,0.64,26.2,10.7
Cameron McGriff,24,POR,SF,3,0,46,5,14,.357,2,6,.333,3,8,.375,.429,2,2,1.000,6,9,15,3,0,1,0,7,14,0,,https://www.basketball-reference.com/players/m/mcgrica01.html,https://www.basketball-reference.com/teams/POR/2022.html,cameron-mcgriff,26,8.7,0.57,15.3,4.9
Cameron Oliver,25,ATL,SF,2,0,43,10,15,.667,1,3,.333,9,12,.750,.700,2,3,.667,2,4,6,3,1,1,0,5,23,0,,https://www.basketball-reference.com/players/o/oliveca01.html,https://www.basketball-reference.com/teams/ATL/2022.html,cameron-oliver,29,14.5,0.67,21.5,9.8
Cameron Payne,27,PHO,PG,58,12,1278,240,587,.409,71,211,.336,169,376,.449,.469,75,89,.843,24,151,175,282,40,17,103,119,626,0,,https://www.basketball-reference.com/players/p/payneca01.html,https://www.basketball-reference.com/teams/PHO/2022.html,cameron-payne,918,15.8,0.72,22.0,11.4
Caris LeVert,27,2TM,SG,58,49,1781,379,854,.444,82,256,.320,297,598,.497,.492,146,193,.756,43,171,214,248,51,23,108,131,986,0,,https://www.basketball-reference.com/players/l/leverca01.html,0,caris-levert,1283,22.1,0.72,30.7,15.9
Carlik Jones,24,2TM,PG,5,0,23,1,9,.111,0,1,.000,1,8,.125,.111,2,2,1.000,1,2,3,5,1,0,3,0,4,0,,https://www.basketball-reference.com/players/j/jonesca03.html,0,carlik-jones,10,2.0,0.43,4.6,0.9
Carmelo Anthony,37,LAL,PF,69,3,1793,319,723,.441,149,397,.375,170,326,.521,.544,132,159,.830,62,226,288,68,47,52,59,166,919,0,,https://www.basketball-reference.com/players/a/anthoca01.html,https://www.basketball-reference.com/teams/LAL/2022.html,carmelo-anthony,1149,16.7,0.64,26.0,10.7
Carsen Edwards,23,DET,SG,4,0,79,9,30,.300,4,16,.250,5,14,.357,.367,1,1,1.000,2,4,6,14,2,0,5,4,23,0,,https://www.basketball-reference.com/players/e/edwarca01.html,https://www.basketball-reference.com/teams/DET/2022.html,carsen-edwards,36,9.0,0.46,19.8,4.1
Cassius Stanley,22,DET,SG,9,1,155,19,46,.413,4,17,.235,15,29,.517,.457,10,10,1.000,5,14,19,4,5,2,6,17,52,0,,https://www.basketball-reference.com/players/s/stanlca01.html,https://www.basketball-reference.com/teams/DET/2022.html,cassius-stanley,59,6.6,0.38,17.2,2.5
Cassius Winston,23,WAS,PG,7,0,39,4,11,.364,2,6,.333,2,5,.400,.455,4,4,1.000,0,1,1,7,0,0,3,9,14,0,,https://www.basketball-reference.com/players/w/winstca01.html,https://www.basketball-reference.com/teams/WAS/2022.html,cassius-winston,10,1.4,0.26,5.6,0.4
Cat Barber,27,ATL,PG,3,0,13,0,4,.000,0,0,,0,4,.000,.000,0,4,.000,1,2,3,3,0,0,1,1,0,0,,https://www.basketball-reference.com/players/b/barbeca01.html,https://www.basketball-reference.com/teams/ATL/2022.html,cat-barber,4,1.3,0.31,4.3,0.4
Cedi Osman,26,CLE,SF,66,3,1462,247,572,.432,128,359,.357,119,213,.559,.544,87,131,.664,25,121,146,135,52,10,67,127,709,0,,https://www.basketball-reference.com/players/o/osmande01.html,https://www.basketball-reference.com/teams/CLE/2022.html,cedi-osman,858,13.0,0.59,22.2,7.6
Chandler Hutchison,25,PHO,SF,6,0,22,1,2,.500,0,0,,1,2,.500,.500,2,2,1.000,0,5,5,2,0,0,4,1,4,0,,https://www.basketball-reference.com/players/h/hutchch01.html,https://www.basketball-reference.com/teams/PHO/2022.html,chandler-hutchison,6,1.0,0.27,3.7,0.3
Charles Bassey,21,PHI,C,23,0,168,30,47,.638,0,4,.000,30,43,.698,.638,9,12,.750,22,40,62,7,5,17,8,32,69,0,,https://www.basketball-reference.com/players/b/bassech01.html,https://www.basketball-reference.com/teams/PHI/2022.html,charles-bassey,120,5.2,0.71,7.3,3.7
Charlie Brown Jr.,24,2TM,SG,22,2,177,10,39,.256,1,12,.083,9,27,.333,.269,9,10,.900,14,18,32,6,10,4,5,18,30,0,,https://www.basketball-reference.com/players/b/brownch02.html,0,charlie-brown,59,2.7,0.33,8.0,0.9
Chaundee Brown Jr.,23,2TM,SG,5,2,104,10,32,.313,6,18,.333,4,14,.286,.406,5,6,.833,1,15,16,4,2,0,1,7,31,0,,https://www.basketball-reference.com/players/b/brownch05.html,0,chaundee-brown,45,9.0,0.43,20.8,3.9
Cheick Diallo,25,DET,C,3,0,31,3,8,.375,0,0,,3,8,.375,.375,5,6,.833,4,8,12,0,1,0,1,6,11,0,,https://www.basketball-reference.com/players/d/diallch01.html,https://www.basketball-reference.com/teams/DET/2022.html,cheick-diallo,17,5.7,0.55,10.3,3.1
Chimezie Metu,24,SAC,C,60,20,1279,203,449,.452,57,186,.306,146,263,.555,.516,71,91,.780,34,301,335,60,51,32,61,93,534,0,,https://www.basketball-reference.com/players/m/metuch01.html,https://www.basketball-reference.com/teams/SAC/2022.html,chimezie-metu,858,14.3,0.67,21.3,9.6
Chris Boucher,29,TOR,SF,80,9,1690,268,577,.464,68,229,.297,200,348,.575,.523,150,193,.777,179,315,494,25,49,75,42,174,754,0,,https://www.basketball-reference.com/players/b/bouchch01.html,https://www.basketball-reference.com/teams/TOR/2022.html,chris-boucher,1181,14.8,0.7,21.1,10.3
Chris Chiozza,26,GSW,PG,34,1,372,24,81,.296,17,53,.321,7,28,.250,.401,2,3,.667,9,27,36,65,13,0,32,32,67,0,,https://www.basketball-reference.com/players/c/chiozch01.html,https://www.basketball-reference.com/teams/GSW/2022.html,chris-chiozza,117,3.4,0.31,10.9,1.1
Chris Duarte,24,IND,SG,55,39,1541,268,621,.432,94,255,.369,174,366,.475,.507,90,112,.804,41,185,226,114,56,10,90,95,720,0,,https://www.basketball-reference.com/players/d/duartch01.html,https://www.basketball-reference.com/teams/IND/2022.html,chris-duarte,941,17.1,0.61,28.0,10.4
Chris Paul,36,PHO,PG,65,65,2139,363,736,.493,63,199,.317,300,537,.559,.536,169,202,.837,22,261,283,702,121,20,153,134,958,2,"MVP-9,AS,NBA3",https://www.basketball-reference.com/players/p/paulch01.html,https://www.basketball-reference.com/teams/PHO/2022.html,chris-paul,1797,27.6,0.84,32.9,23.2
Chris Silva,25,2TM,PF,10,0,91,8,15,.533,0,0,,8,15,.533,.533,10,12,.833,13,23,36,7,0,1,8,20,26,0,,https://www.basketball-reference.com/players/s/silvach01.html,0,chris-silva,42,4.2,0.46,9.1,1.9
Christian Wood,26,HOU,C,68,67,2094,440,878,.501,131,336,.390,309,542,.570,.576,207,332,.623,110,576,686,155,54,65,126,171,1218,0,,https://www.basketball-reference.com/players/w/woodch01.html,https://www.basketball-reference.com/teams/HOU/2022.html,christian-wood,1881,27.7,0.9,30.8,24.8
Chuma Okeke,23,ORL,PF,70,20,1749,216,575,.376,118,371,.318,98,204,.480,.478,55,65,.846,47,300,347,118,97,42,57,95,605,0,,https://www.basketball-reference.com/players/o/okekech01.html,https://www.basketball-reference.com/teams/ORL/2022.html,chuma-okeke,1057,15.1,0.6,25.0,9.1
CJ Elleby,21,POR,SF,58,28,1174,121,308,.393,37,126,.294,84,182,.462,.453,60,84,.714,66,161,227,87,35,19,56,116,339,0,,https://www.basketball-reference.com/players/e/ellebcj01.html,https://www.basketball-reference.com/teams/POR/2022.html,cj-elleby,535,9.2,0.46,20.2,4.2
CJ McCollum,30,2TM,PG,62,62,2145,536,1164,.460,182,469,.388,354,695,.509,.539,116,170,.682,53,216,269,315,70,22,127,121,1370,0,,https://www.basketball-reference.com/players/m/mccolcj01.html,0,cj-mccollum,1798,29.0,0.84,34.6,24.3
C.J. Miles,34,BOS,SG,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,0,,https://www.basketball-reference.com/players/m/milescj01.html,https://www.basketball-reference.com/teams/BOS/2022.html,cj-miles,-1,-1.0,-0.5,2.0,0.5
Clint Capela,27,ATL,C,74,73,2042,370,604,.613,0,1,.000,370,603,.614,.613,80,169,.473,279,598,877,92,55,93,44,166,820,0,,https://www.basketball-reference.com/players/c/capelca01.html,https://www.basketball-reference.com/teams/ATL/2022.html,clint-capela,1727,23.3,0.85,27.6,19.7
