Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Link,Team Link,Player Key,FP,FPPG,FPPM,MPG,FPR
Anthony Edwards,19,MIN,SG,72,55,2314,505,1211,.417,171,520,.329,334,691,.483,.488,211,272,.776,59,277,336,211,82,36,160,129,1392,0,ROY-2,https://www.basketball-reference.com/players/e/edwaran01.html,https://www.basketball-reference.com/teams/MIN/2021.html,anthony-edwards,1768,24.6,0.76,32.1,18.8
Anthony Gill,28,WAS,PF,26,4,218,30,60,.500,7,24,.292,23,36,.639,.558,13,16,.813,16,35,51,11,10,4,8,27,80,0,,https://www.basketball-reference.com/players/g/gillan01.html,https://www.basketball-reference.com/teams/WAS/2021.html,anthony-gill,121,4.7,0.56,8.4,2.6
Anthony Lamb,23,HOU,SF,24,3,415,46,118,.390,23,71,.324,23,47,.489,.487,18,21,.857,27,43,70,23,6,5,19,34,133,0,,https://www.basketball-reference.com/players/l/lamban01.html,https://www.basketball-reference.com/teams/HOU/2021.html,anthony-lamb,184,7.7,0.44,17.3,3.4
Anthony Tolliver,35,PHI,PF,11,0,99,4,17,.235,4,14,.286,0,3,.000,.353,5,6,.833,3,7,10,2,3,2,3,7,17,0,,https://www.basketball-reference.com/players/t/tollian01.html,https://www.basketball-reference.com/teams/PHI/2021.html,anthony-tolliver,24,2.2,0.24,9.0,0.5
Anžejs Pasečņiks,25,WAS,C,1,0,6,0,1,.000,0,1,.000,0,0,,.000,0,0,,1,0,1,1,0,0,5,2,0,0,,https://www.basketball-reference.com/players/p/pasecan01.html,https://www.basketball-reference.com/teams/WAS/2021.html,anzejs-pasecniks,-5,-5.0,-0.83,6.0,4.2
Armoni Brooks,22,HOU,SG,20,5,520,78,192,.406,60,157,.382,18,35,.514,.563,7,12,.583,10,58,68,30,12,5,22,34,223,0,,https://www.basketball-reference.com/players/b/brookar01.html,https://www.basketball-reference.com/teams/HOU/2021.html,armoni-brooks,282,14.1,0.54,26.0,7.6
Aron Baynes,34,TOR,C,53,31,980,134,304,.441,27,103,.262,107,201,.532,.485,29,41,.707,87,186,273,47,17,23,46,119,324,0,,https://www.basketball-reference.com/players/b/baynear01.html,https://www.basketball-reference.com/teams/TOR/2021.html,aron-baynes,519,9.8,0.53,18.5,5.2
Ashton Hagans,21,MIN,PG,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,0,,https://www.basketball-reference.com/players/h/haganas01.html,https://www.basketball-reference.com/teams/MIN/2021.html,ashton-hagans,-1,-0.5,-0.25,2.0,0.1
Austin Rivers,28,2TM,SG,36,7,845,104,245,.424,55,149,.369,49,96,.510,.537,22,31,.710,8,74,82,81,30,2,36,64,285,0,,https://www.basketball-reference.com/players/r/riverau01.html,0,austin-rivers,380,10.6,0.45,23.5,4.7
Avery Bradley,30,2TM,SG,27,6,602,64,171,.374,33,101,.327,31,70,.443,.471,12,15,.800,8,49,57,46,21,3,28,55,173,0,,https://www.basketball-reference.com/players/b/bradlav01.html,0,avery-bradley,217,8.0,0.36,22.3,2.9
Axel Toupane,28,MIL,SF,8,1,61,4,11,.364,1,2,.500,3,9,.333,.409,5,7,.714,0,6,6,4,2,3,0,6,14,0,,https://www.basketball-reference.com/players/t/toupaax01.html,https://www.basketball-reference.com/teams/MIL/2021.html,axel-toupane,23,2.9,0.38,7.6,1.1
Bam Adebayo,23,MIA,C,64,64,2143,456,800,.570,2,8,.250,454,792,.573,.571,283,354,.799,142,431,573,346,75,66,169,145,1197,2,DPOY-4,https://www.basketball-reference.com/players/a/adebaba01.html,https://www.basketball-reference.com/teams/MIA/2021.html,bam-adebayo,1943,30.4,0.91,33.5,27.5
Ben McLemore,27,2TM,SG,53,5,905,135,365,.370,97,280,.346,38,85,.447,.503,39,53,.736,15,85,100,39,23,9,42,88,406,0,,https://www.basketball-reference.com/players/m/mclembe01.html,0,ben-mclemore,447,8.4,0.49,17.1,4.2
Ben Simmons,24,PHI,PG,58,58,1877,325,583,.557,3,10,.300,322,573,.562,.560,176,287,.613,93,324,417,401,93,35,173,171,829,4,"MVP-12,DPOY-2,AS",https://www.basketball-reference.com/players/s/simmobe01.html,https://www.basketball-reference.com/teams/PHI/2021.html,ben-simmons,1431,24.7,0.76,32.4,18.8
Bismack Biyombo,28,CHO,C,66,36,1349,142,242,.587,0,1,.000,142,241,.589,.587,47,105,.448,137,210,347,81,17,74,71,141,331,0,,https://www.basketball-reference.com/players/b/biyombi01.html,https://www.basketball-reference.com/teams/CHO/2021.html,bismack-biyombo,638,9.7,0.47,20.4,4.6
Blake Griffin,31,2TM,PF,46,30,1186,174,411,.423,70,205,.341,104,206,.505,.509,87,117,.744,35,190,225,140,32,15,62,111,505,0,,https://www.basketball-reference.com/players/g/griffbl01.html,0,blake-griffin,744,16.2,0.63,25.8,10.1
Boban Marjanović,32,DAL,C,33,3,271,62,122,.508,1,8,.125,61,114,.535,.512,31,38,.816,47,81,128,10,2,6,12,29,156,0,,https://www.basketball-reference.com/players/m/marjabo01.html,https://www.basketball-reference.com/teams/DAL/2021.html,boban-marjanovic,261,7.9,0.96,8.2,7.6
Bobby Portis,25,MIL,C,66,7,1372,313,598,.523,74,157,.471,239,441,.542,.585,54,73,.740,124,342,466,71,52,26,56,115,754,0,6MOY-9,https://www.basketball-reference.com/players/p/portibo01.html,https://www.basketball-reference.com/teams/MIL/2021.html,bobby-portis,1198,18.2,0.87,20.8,15.8
Bogdan Bogdanović,28,ATL,SG,44,27,1305,267,565,.473,146,333,.438,121,232,.522,.602,40,44,.909,20,140,160,147,49,13,54,99,720,0,,https://www.basketball-reference.com/players/b/bogdabo01.html,https://www.basketball-reference.com/teams/ATL/2021.html,bogdan-bogdanovic,936,21.3,0.72,29.7,15.3
Bojan Bogdanović,31,UTA,SF,72,72,2216,406,925,.439,180,461,.390,226,464,.487,.536,233,265,.879,40,241,281,136,45,4,128,115,1225,0,,https://www.basketball-reference.com/players/b/bogdabo02.html,https://www.basketball-reference.com/teams/UTA/2021.html,bojan-bogdanovic,1448,20.1,0.65,30.8,13.1
Bol Bol,21,DEN,PF,32,2,160,25,58,.431,9,24,.375,16,34,.471,.509,10,15,.667,0,24,24,7,3,10,13,14,69,0,,https://www.basketball-reference.com/players/b/bolbo01.html,https://www.basketball-reference.com/teams/DEN/2021.html,bol-bol,86,2.7,0.54,5.0,1.4
Brad Wanamaker,31,2TM,PG,61,0,1053,115,299,.385,16,85,.188,99,214,.463,.411,90,101,.891,18,87,105,174,43,11,71,94,336,0,,https://www.basketball-reference.com/players/w/wanambr01.html,0,brad-wanamaker,504,8.3,0.48,17.3,4.0
Bradley Beal,27,WAS,SG,60,60,2147,670,1382,.485,130,373,.349,540,1009,.535,.532,408,459,.889,72,211,283,265,69,22,187,140,1878,0,"AS,NBA3",https://www.basketball-reference.com/players/b/bealbr01.html,https://www.basketball-reference.com/teams/WAS/2021.html,bradley-beal,2190,36.5,1.02,35.8,37.2
Brandon Clarke,24,MEM,PF,59,16,1415,256,495,.517,20,77,.260,236,418,.565,.537,78,113,.690,97,231,328,95,60,51,33,84,610,0,,https://www.basketball-reference.com/players/c/clarkbr01.html,https://www.basketball-reference.com/teams/MEM/2021.html,brandon-clarke,1027,17.4,0.73,24.0,12.6
Brandon Goodwin,25,ATL,PG,47,5,620,84,223,.377,32,103,.311,52,120,.433,.448,28,43,.651,8,61,69,95,17,0,36,41,228,0,,https://www.basketball-reference.com/players/g/goodwbr01.html,https://www.basketball-reference.com/teams/ATL/2021.html,brandon-goodwin,332,7.1,0.54,13.2,3.8
Brandon Ingram,23,NOP,SF,61,61,2093,513,1101,.466,143,375,.381,370,726,.510,.531,281,320,.878,34,265,299,296,42,36,154,124,1450,0,,https://www.basketball-reference.com/players/i/ingrabr01.html,https://www.basketball-reference.com/teams/NOP/2021.html,brandon-ingram,1845,30.2,0.88,34.3,26.7
Brian Bowen,22,IND,SF,6,0,15,1,4,.250,0,1,.000,1,3,.333,.250,1,1,1.000,0,3,3,0,0,0,0,1,3,0,,https://www.basketball-reference.com/players/b/bowenbr02.html,https://www.basketball-reference.com/teams/IND/2021.html,brian-bowen,5,0.8,0.33,2.5,0.3
Brodric Thomas,24,2TM,SG,32,1,399,39,108,.361,16,59,.271,23,49,.469,.435,31,46,.674,8,45,53,30,15,10,22,40,125,0,,https://www.basketball-reference.com/players/t/thomabr01.html,0,brodric-thomas,171,5.3,0.43,12.5,2.3
Brook Lopez,32,MIL,C,70,70,1902,322,640,.503,95,281,.338,227,359,.632,.577,120,142,.845,104,243,347,50,40,103,64,149,859,0,,https://www.basketball-reference.com/players/l/lopezbr01.html,https://www.basketball-reference.com/teams/MIL/2021.html,brook-lopez,1186,16.9,0.62,27.2,10.6
Bruce Brown,24,BRK,PG,65,37,1451,235,423,.556,17,59,.288,218,364,.599,.576,86,117,.735,111,238,349,104,58,28,54,145,573,0,,https://www.basketball-reference.com/players/b/brownbr01.html,https://www.basketball-reference.com/teams/BRK/2021.html,bruce-brown,913,14.0,0.63,22.3,8.8
Bruno Caboclo,25,HOU,PF,6,0,36,8,17,.471,0,5,.000,8,12,.667,.471,1,2,.500,3,11,14,1,0,2,4,6,17,0,,https://www.basketball-reference.com/players/c/cabocbr01.html,https://www.basketball-reference.com/teams/HOU/2021.html,bruno-caboclo,24,4.0,0.67,6.0,2.7
Bruno Fernando,22,ATL,C,33,0,226,18,44,.409,0,2,.000,18,42,.429,.409,15,22,.682,16,62,78,10,4,3,21,23,51,0,,https://www.basketball-reference.com/players/f/fernabr01.html,https://www.basketball-reference.com/teams/ATL/2021.html,bruno-fernando,102,3.1,0.45,6.8,1.4
Bryn Forbes,27,MIL,SG,70,10,1354,250,529,.473,154,341,.452,96,188,.511,.618,47,61,.770,11,101,112,45,24,1,44,77,701,0,,https://www.basketball-reference.com/players/f/forbebr01.html,https://www.basketball-reference.com/teams/MIL/2021.html,bryn-forbes,762,10.9,0.56,19.3,6.1
Buddy Hield,28,SAC,SG,71,71,2433,403,992,.406,282,721,.391,121,271,.446,.548,88,104,.846,29,305,334,257,63,30,130,175,1176,0,,https://www.basketball-reference.com/players/h/hieldbu01.html,https://www.basketball-reference.com/teams/SAC/2021.html,buddy-hield,1555,21.9,0.64,34.3,14.0
Caleb Martin,25,CHO,SF,53,3,818,96,256,.375,31,125,.248,65,131,.496,.436,41,64,.641,31,110,141,67,37,12,33,62,264,0,,https://www.basketball-reference.com/players/m/martica02.html,https://www.basketball-reference.com/teams/CHO/2021.html,caleb-martin,426,8.0,0.52,15.4,4.2
Cam Reddish,21,ATL,SF,26,21,750,96,263,.365,33,126,.262,63,137,.460,.428,67,82,.817,22,82,104,35,33,9,34,68,292,0,,https://www.basketball-reference.com/players/r/reddica01.html,https://www.basketball-reference.com/teams/ATL/2021.html,cam-reddish,371,14.3,0.49,28.8,7.1
Cameron Johnson,24,PHO,PF,60,11,1437,203,483,.420,117,335,.349,86,148,.581,.541,50,59,.847,33,166,199,86,37,16,40,85,573,0,,https://www.basketball-reference.com/players/j/johnsca02.html,https://www.basketball-reference.com/teams/PHO/2021.html,cameron-johnson,786,13.1,0.55,24.0,7.2
Cameron Oliver,24,HOU,SF,4,0,87,19,33,.576,4,13,.308,15,20,.750,.636,1,4,.250,5,16,21,5,2,4,3,11,43,0,,https://www.basketball-reference.com/players/o/oliveca01.html,https://www.basketball-reference.com/teams/HOU/2021.html,cameron-oliver,61,15.2,0.7,21.8,10.7
Cameron Payne,26,PHO,PG,60,1,1079,191,395,.484,73,166,.440,118,229,.515,.576,50,56,.893,16,128,144,217,36,16,60,97,505,0,,https://www.basketball-reference.com/players/p/payneca01.html,https://www.basketball-reference.com/teams/PHO/2021.html,cameron-payne,761,12.7,0.71,18.0,8.9
Cameron Reynolds,25,2TM,SF,5,0,40,6,18,.333,3,12,.250,3,6,.500,.417,0,0,,2,3,5,2,0,0,0,2,15,0,,https://www.basketball-reference.com/players/r/reynoca01.html,0,cameron-reynolds,20,4.0,0.5,8.0,2.0
Caris LeVert,26,2TM,SG,47,39,1486,359,814,.441,84,258,.326,275,556,.495,.493,146,180,.811,33,181,214,245,66,30,102,105,948,0,,https://www.basketball-reference.com/players/l/leverca01.html,0,caris-levert,1296,27.6,0.87,31.6,24.0
Carmelo Anthony,36,POR,PF,69,3,1690,327,777,.421,133,325,.409,194,452,.429,.506,137,154,.890,32,182,214,104,46,38,61,144,924,0,6MOY-7,https://www.basketball-reference.com/players/a/anthoca01.html,https://www.basketball-reference.com/teams/POR/2021.html,carmelo-anthony,1121,16.2,0.66,24.5,10.8
Carsen Edwards,22,BOS,SG,31,1,276,47,111,.423,18,63,.286,29,48,.604,.505,11,13,.846,3,23,26,14,7,1,7,25,123,0,,https://www.basketball-reference.com/players/e/edwarca01.html,https://www.basketball-reference.com/teams/BOS/2021.html,carsen-edwards,139,4.5,0.5,8.9,2.3
Cassius Stanley,21,IND,SG,24,0,93,13,43,.302,3,13,.231,10,30,.333,.337,7,9,.778,8,12,20,1,1,2,1,14,36,0,,https://www.basketball-reference.com/players/s/stanlca01.html,https://www.basketball-reference.com/teams/IND/2021.html,cassius-stanley,45,1.9,0.48,3.9,0.9
Cassius Winston,22,WAS,PG,22,0,98,14,33,.424,8,17,.471,6,16,.375,.545,5,6,.833,0,9,9,12,2,1,5,8,41,0,,https://www.basketball-reference.com/players/w/winstca01.html,https://www.basketball-reference.com/teams/WAS/2021.html,cassius-winston,52,2.4,0.53,4.5,1.3
Cedi Osman,25,CLE,SF,59,26,1510,219,586,.374,99,324,.306,120,262,.458,.458,76,95,.800,38,163,201,174,53,9,80,119,613,0,,https://www.basketball-reference.com/players/o/osmande01.html,https://www.basketball-reference.com/teams/CLE/2021.html,cedi-osman,851,14.4,0.56,25.6,8.1
Chandler Hutchison,24,2TM,SF,25,1,346,39,103,.379,8,22,.364,31,81,.383,.417,21,25,.840,6,72,78,17,12,5,20,33,107,0,,https://www.basketball-reference.com/players/h/hutchch01.html,0,chandler-hutchison,166,6.6,0.48,13.8,3.2
Charlie Brown Jr.,23,OKC,SG,9,1,152,13,43,.302,5,21,.238,8,22,.364,.360,9,10,.900,3,14,17,9,4,2,6,19,40,0,,https://www.basketball-reference.com/players/b/brownch02.html,https://www.basketball-reference.com/teams/OKC/2021.html,charlie-brown,47,5.2,0.31,16.9,1.6
Chasson Randle,27,ORL,PG,41,5,837,92,237,.388,44,130,.338,48,107,.449,.481,38,48,.792,7,75,82,74,22,5,46,64,266,0,,https://www.basketball-reference.com/players/r/randlch01.html,https://www.basketball-reference.com/teams/ORL/2021.html,chasson-randle,339,8.3,0.41,20.4,3.3
Chimezie Metu,23,SAC,C,36,6,488,91,179,.508,13,37,.351,78,142,.549,.545,31,43,.721,31,81,112,28,14,18,29,59,226,0,,https://www.basketball-reference.com/players/m/metuch01.html,https://www.basketball-reference.com/teams/SAC/2021.html,chimezie-metu,310,8.6,0.64,13.6,5.5
Chris Boucher,28,TOR,C,60,14,1453,288,560,.514,90,235,.383,198,325,.609,.595,152,193,.788,117,287,404,63,35,111,46,166,818,0,6MOY-8,https://www.basketball-reference.com/players/b/bouchch01.html,https://www.basketball-reference.com/teams/TOR/2021.html,chris-boucher,1219,20.3,0.84,24.2,17.0
Chris Chiozza,25,BRK,PG,22,1,232,31,88,.352,13,42,.310,18,46,.391,.426,13,17,.765,3,21,24,65,7,6,16,19,88,0,,https://www.basketball-reference.com/players/c/chiozch01.html,https://www.basketball-reference.com/teams/BRK/2021.html,chris-chiozza,155,7.0,0.67,10.5,4.7
Chris Paul,35,PHO,PG,70,70,2199,439,879,.499,102,258,.395,337,621,.543,.557,169,181,.934,25,287,312,622,99,19,156,166,1149,1,"MVP-5,AS,NBA2",https://www.basketball-reference.com/players/p/paulch01.html,https://www.basketball-reference.com/teams/PHO/2021.html,chris-paul,1879,26.8,0.85,31.4,22.9
Chris Silva,24,2TM,PF,15,0,92,10,16,.625,1,1,1.000,9,15,.600,.656,11,15,.733,7,20,27,6,1,6,10,24,32,0,,https://www.basketball-reference.com/players/s/silvach01.html,0,chris-silva,38,2.5,0.41,6.1,1.0
Christian Wood,25,HOU,C,41,41,1326,329,640,.514,77,206,.374,252,434,.581,.574,125,198,.631,76,319,395,71,34,48,80,88,860,0,,https://www.basketball-reference.com/players/w/woodch01.html,https://www.basketball-reference.com/teams/HOU/2021.html,christian-wood,1240,30.2,0.94,32.3,28.3
Chuma Okeke,22,ORL,PF,45,19,1133,135,324,.417,49,141,.348,86,183,.470,.492,30,40,.750,42,139,181,101,48,22,38,48,349,0,,https://www.basketball-reference.com/players/o/okekech01.html,https://www.basketball-reference.com/teams/ORL/2021.html,chuma-okeke,615,13.7,0.54,25.2,7.4
CJ Elleby,20,POR,SF,30,0,192,25,66,.379,7,34,.206,18,32,.563,.432,11,15,.733,11,21,32,10,6,3,5,27,68,0,,https://www.basketball-reference.com/players/e/ellebcj01.html,https://www.basketball-reference.com/teams/POR/2021.html,cj-elleby,87,2.9,0.45,6.4,1.3
CJ McCollum,29,POR,SG,47,47,1600,405,884,.458,169,420,.402,236,464,.509,.554,108,133,.812,30,155,185,223,44,21,65,87,1087,0,,https://www.basketball-reference.com/players/m/mccolcj01.html,https://www.basketball-reference.com/teams/POR/2021.html,cj-mccollum,1408,30.0,0.88,34.0,26.4
Clint Capela,26,ATL,C,63,63,1898,413,695,.594,0,0,,413,695,.594,.594,130,227,.573,297,606,903,49,44,129,73,145,956,1,DPOY-6,https://www.basketball-reference.com/players/c/capelca01.html,https://www.basketball-reference.com/teams/ATL/2021.html,clint-capela,1863,29.6,0.98,30.1,29.0
Coby White,20,CHI,PG,69,54,2156,375,902,.416,163,454,.359,212,448,.473,.506,128,142,.901,28,256,284,328,38,15,156,179,1041,0,,https://www.basketball-reference.com/players/w/whiteco01.html,https://www.basketball-reference.com/teams/CHI/2021.html,coby-white,1371,19.9,0.64,31.2,12.6
Cody Martin,25,CHO,SF,52,10,849,83,188,.441,16,58,.276,67,130,.515,.484,25,43,.581,52,109,161,86,37,12,40,52,207,0,,https://www.basketball-reference.com/players/m/martico01.html,https://www.basketball-reference.com/teams/CHO/2021.html,cody-martin,411,7.9,0.48,16.3,3.8
Cody Zeller,28,CHO,C,48,21,1005,181,324,.559,4,28,.143,177,296,.598,.565,85,119,.714,119,209,328,86,27,17,51,121,451,0,,https://www.basketball-reference.com/players/z/zelleco01.html,https://www.basketball-reference.com/teams/CHO/2021.html,cody-zeller,737,15.4,0.73,20.9,11.3
Cole Anthony,20,ORL,PG,47,34,1273,219,552,.397,58,172,.337,161,380,.424,.449,109,131,.832,38,183,221,192,30,18,106,98,605,0,,https://www.basketball-reference.com/players/a/anthoco01.html,https://www.basketball-reference.com/teams/ORL/2021.html,cole-anthony,862,18.3,0.68,27.1,12.4
Collin Sexton,22,CLE,SG,60,60,2115,525,1105,.475,98,264,.371,427,841,.508,.519,312,383,.815,58,129,187,262,62,10,167,157,1460,0,,https://www.basketball-reference.com/players/s/sextoco01.html,https://www.basketball-reference.com/teams/CLE/2021.html,collin-sexton,1657,27.6,0.78,35.2,21.6
Cory Joseph,29,2TM,PG,63,13,1446,200,426,.469,45,132,.341,155,294,.527,.522,72,88,.818,35,124,159,213,61,18,79,139,517,0,,https://www.basketball-reference.com/players/j/josepco01.html,0,cory-joseph,750,11.9,0.52,23.0,6.2
Cristiano Felício,28,CHI,C,18,0,84,7,13,.538,0,2,.000,7,11,.636,.538,9,16,.563,10,16,26,9,4,0,4,10,23,0,,https://www.basketball-reference.com/players/f/feliccr01.html,https://www.basketball-reference.com/teams/CHI/2021.html,cristiano-felicio,48,2.7,0.57,4.7,1.5
Dakota Mathias,25,PHI,SG,8,2,123,19,48,.396,8,26,.308,11,22,.500,.479,2,6,.333,1,6,7,13,1,3,1,7,48,0,,https://www.basketball-reference.com/players/m/mathida01.html,https://www.basketball-reference.com/teams/PHI/2021.html,dakota-mathias,64,8.0,0.52,15.4,4.2
Damian Jones,25,3TM,C,39,10,547,70,103,.680,1,5,.200,69,98,.704,.684,42,58,.724,36,85,121,29,11,29,26,77,183,0,,https://www.basketball-reference.com/players/j/jonesda03.html,0,damian-jones,270,6.9,0.49,14.0,3.4
Damian Lillard,30,POR,PG,67,67,2398,602,1334,.451,275,704,.391,327,630,.519,.554,449,484,.928,32,251,283,505,62,17,203,102,1928,0,"MVP-7,AS,NBA2",https://www.basketball-reference.com/players/l/lillada01.html,https://www.basketball-reference.com/teams/POR/2021.html,damian-lillard,2490,37.2,1.04,35.8,38.6
